run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,configname,FeedbackVersion,,,
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,datetime,20240511-20:48:08,,,
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,datetimef,20240511-204808,,,
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,experiment,FeedbackVersion,,,
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,inifile,omnetpp.ini,,,
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,iterationvars,$genInterval=0.5,,,
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,iterationvarsd,genInterval=0.5,,,
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,iterationvarsf,genInterval=0.5-,,,
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,measurement,$genInterval=0.5,,,
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,network,NetworkFV,,,
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,processid,11935,,,
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,repetition,0,,,
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,replication,#0,,,
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,resultdir,results,,,
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,runnumber,8,,,
FeedbackVersion-8-20240511-20:48:08-11935,runattr,,,seedset,8,,,
FeedbackVersion-8-20240511-20:48:08-11935,itervar,,,genInterval,0.5,,,
FeedbackVersion-8-20240511-20:48:08-11935,config,,,network,NetworkFV,,,
FeedbackVersion-8-20240511-20:48:08-11935,config,,,sim-time-limit,200s,,,
FeedbackVersion-8-20240511-20:48:08-11935,config,,,NetworkFV.nodeTx.gen.generationInterval,exponential(0.5),,,
FeedbackVersion-8-20240511-20:48:08-11935,config,,,NetworkFV.nodeTx.gen.packetByteSize,12500,,,
FeedbackVersion-8-20240511-20:48:08-11935,config,,,NetworkFV.queueOne.bufferSize,200,,,
FeedbackVersion-8-20240511-20:48:08-11935,config,,,NetworkFV.nodeRx.queue.bufferSize,200,,,
FeedbackVersion-8-20240511-20:48:08-11935,config,,,NetworkFV.nodeTx.queue.bufferSize,2000000,,,
FeedbackVersion-8-20240511-20:48:08-11935,config,,,NetworkFV.queueZero.bufferSize,200,,,
FeedbackVersion-8-20240511-20:48:08-11935,scalar,NetworkFV.nodeTx.queue,Number of packets on TransportTx,,,0,,
FeedbackVersion-8-20240511-20:48:08-11935,scalar,NetworkFV.nodeTx.queue,Number of packets sent - TransportTx,,,413,,
FeedbackVersion-8-20240511-20:48:08-11935,scalar,NetworkFV.queueZero,Number of packets on queue,,,0,,
FeedbackVersion-8-20240511-20:48:08-11935,scalar,NetworkFV.queueZero,Number of dropped packets,,,0,,
FeedbackVersion-8-20240511-20:48:08-11935,scalar,NetworkFV.queueOne,Number of packets on queue,,,0,,
FeedbackVersion-8-20240511-20:48:08-11935,scalar,NetworkFV.queueOne,Number of dropped packets,,,0,,
FeedbackVersion-8-20240511-20:48:08-11935,scalar,NetworkFV.nodeRx.sink,Avg delay,,,0.63852115802948,,
FeedbackVersion-8-20240511-20:48:08-11935,scalar,NetworkFV.nodeRx.sink,Number of packets,,,413,,
FeedbackVersion-8-20240511-20:48:08-11935,scalar,NetworkFV.nodeRx.queue,Number of packets on TransportRx,,,0,,
FeedbackVersion-8-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,typename,,,"""ned.DatarateChannel""",,
