run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,configname,FeedbackVersion,,,
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,datetime,20240511-20:48:08,,,
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,datetimef,20240511-204808,,,
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,experiment,FeedbackVersion,,,
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,inifile,omnetpp.ini,,,
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,iterationvars,$genInterval=0.3,,,
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,iterationvarsd,genInterval=0.3,,,
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,iterationvarsf,genInterval=0.3-,,,
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,measurement,$genInterval=0.3,,,
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,network,NetworkFV,,,
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,processid,11935,,,
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,repetition,0,,,
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,replication,#0,,,
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,resultdir,results,,,
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,runnumber,4,,,
FeedbackVersion-4-20240511-20:48:08-11935,runattr,,,seedset,4,,,
FeedbackVersion-4-20240511-20:48:08-11935,itervar,,,genInterval,0.3,,,
FeedbackVersion-4-20240511-20:48:08-11935,config,,,network,NetworkFV,,,
FeedbackVersion-4-20240511-20:48:08-11935,config,,,sim-time-limit,200s,,,
FeedbackVersion-4-20240511-20:48:08-11935,config,,,NetworkFV.nodeTx.gen.generationInterval,exponential(0.3),,,
FeedbackVersion-4-20240511-20:48:08-11935,config,,,NetworkFV.nodeTx.gen.packetByteSize,12500,,,
FeedbackVersion-4-20240511-20:48:08-11935,config,,,NetworkFV.queueOne.bufferSize,200,,,
FeedbackVersion-4-20240511-20:48:08-11935,config,,,NetworkFV.nodeRx.queue.bufferSize,200,,,
FeedbackVersion-4-20240511-20:48:08-11935,config,,,NetworkFV.nodeTx.queue.bufferSize,2000000,,,
FeedbackVersion-4-20240511-20:48:08-11935,config,,,NetworkFV.queueZero.bufferSize,200,,,
FeedbackVersion-4-20240511-20:48:08-11935,scalar,NetworkFV.nodeTx.queue,Number of packets on TransportTx,,,0,,
FeedbackVersion-4-20240511-20:48:08-11935,scalar,NetworkFV.nodeTx.queue,Number of packets sent - TransportTx,,,660,,
FeedbackVersion-4-20240511-20:48:08-11935,scalar,NetworkFV.queueZero,Number of packets on queue,,,0,,
FeedbackVersion-4-20240511-20:48:08-11935,scalar,NetworkFV.queueZero,Number of dropped packets,,,0,,
FeedbackVersion-4-20240511-20:48:08-11935,scalar,NetworkFV.queueOne,Number of packets on queue,,,0,,
FeedbackVersion-4-20240511-20:48:08-11935,scalar,NetworkFV.queueOne,Number of dropped packets,,,0,,
FeedbackVersion-4-20240511-20:48:08-11935,scalar,NetworkFV.nodeRx.sink,Avg delay,,,0.75160004513408,,
FeedbackVersion-4-20240511-20:48:08-11935,scalar,NetworkFV.nodeRx.sink,Number of packets,,,659,,
FeedbackVersion-4-20240511-20:48:08-11935,scalar,NetworkFV.nodeRx.queue,Number of packets on TransportRx,,,0,,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,typename,,,"""ned.DatarateChannel""",,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,disabled,,,false,,
FeedbackVersion-4-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,disabled,mutable,,,,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,delay,,,0.0001s,,
FeedbackVersion-4-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,delay,mutable,,,,
FeedbackVersion-4-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,delay,unit,s,,,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,datarate,,,1e+06bps,,
FeedbackVersion-4-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,datarate,mutable,,,,
FeedbackVersion-4-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,datarate,unit,bps,,,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,ber,,,0,,
FeedbackVersion-4-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,ber,mutable,,,,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,per,,,0,,
FeedbackVersion-4-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,per,mutable,,,,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.queueZero.out.channel,typename,,,"""ned.DatarateChannel""",,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.queueZero.out.channel,disabled,,,false,,
FeedbackVersion-4-20240511-20:48:08-11935,attr,NetworkFV.queueZero.out.channel,disabled,mutable,,,,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.queueZero.out.channel,delay,,,0.0001s,,
FeedbackVersion-4-20240511-20:48:08-11935,attr,NetworkFV.queueZero.out.channel,delay,mutable,,,,
FeedbackVersion-4-20240511-20:48:08-11935,attr,NetworkFV.queueZero.out.channel,delay,unit,s,,,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.queueZero.out.channel,datarate,,,500000bps,,
FeedbackVersion-4-20240511-20:48:08-11935,attr,NetworkFV.queueZero.out.channel,datarate,mutable,,,,
FeedbackVersion-4-20240511-20:48:08-11935,attr,NetworkFV.queueZero.out.channel,datarate,unit,bps,,,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.queueZero.out.channel,ber,,,0,,
FeedbackVersion-4-20240511-20:48:08-11935,attr,NetworkFV.queueZero.out.channel,ber,mutable,,,,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.queueZero.out.channel,per,,,0,,
FeedbackVersion-4-20240511-20:48:08-11935,attr,NetworkFV.queueZero.out.channel,per,mutable,,,,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.nodeTx.gen,typename,,,"""Generator""",,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.nodeTx.gen,generationInterval,,,exponential(0.3),,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.nodeTx.gen,packetByteSize,,,12500,,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.nodeTx.queue,typename,,,"""TransportTx""",,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.nodeTx.queue,bufferSize,,,2000000,,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.nodeTx,typename,,,"""NodeTxFV""",,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.queueZero,typename,,,"""Queue""",,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.queueZero,bufferSize,,,200,,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.queueOne,typename,,,"""Queue""",,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.queueOne,bufferSize,,,200,,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.nodeRx.queue.toApp.channel,typename,,,"""ned.DatarateChannel""",,
FeedbackVersion-4-20240511-20:48:08-11935,param,NetworkFV.nodeRx.queue.toApp.channel,disabled,,,false,,
