run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20240604-22:12:38-60205,runattr,,,configname,General,,
General-0-20240604-22:12:38-60205,runattr,,,datetime,20240604-22:12:38,,
General-0-20240604-22:12:38-60205,runattr,,,datetimef,20240604-221238,,
General-0-20240604-22:12:38-60205,runattr,,,experiment,General,,
General-0-20240604-22:12:38-60205,runattr,,,inifile,omnetpp.ini,,
General-0-20240604-22:12:38-60205,runattr,,,iterationvars,,,
General-0-20240604-22:12:38-60205,runattr,,,iterationvarsd,,,
General-0-20240604-22:12:38-60205,runattr,,,iterationvarsf,,,
General-0-20240604-22:12:38-60205,runattr,,,measurement,,,
General-0-20240604-22:12:38-60205,runattr,,,network,Network,,
General-0-20240604-22:12:38-60205,runattr,,,processid,60205,,
General-0-20240604-22:12:38-60205,runattr,,,repetition,0,,
General-0-20240604-22:12:38-60205,runattr,,,replication,#0,,
General-0-20240604-22:12:38-60205,runattr,,,resultdir,results,,
General-0-20240604-22:12:38-60205,runattr,,,runnumber,0,,
General-0-20240604-22:12:38-60205,runattr,,,seedset,0,,
General-0-20240604-22:12:38-60205,config,,,network,Network,,
General-0-20240604-22:12:38-60205,config,,,sim-time-limit,200s,,
General-0-20240604-22:12:38-60205,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.interArrivalTime",exponential(1),,
General-0-20240604-22:12:38-60205,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.packetByteSize",12500,,
General-0-20240604-22:12:38-60205,config,,,"Network.node[{0,1,2,3,4,6,7,8}].app.destination",5,,
