run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,configname,FeedbackVersion,,,
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,datetime,20240511-20:48:08,,,
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,datetimef,20240511-204808,,,
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,experiment,FeedbackVersion,,,
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,inifile,omnetpp.ini,,,
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,iterationvars,$genInterval=0.8,,,
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,iterationvarsd,genInterval=0.8,,,
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,iterationvarsf,genInterval=0.8-,,,
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,measurement,$genInterval=0.8,,,
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,network,NetworkFV,,,
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,processid,11935,,,
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,repetition,0,,,
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,replication,#0,,,
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,resultdir,results,,,
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,runnumber,14,,,
FeedbackVersion-14-20240511-20:48:08-11935,runattr,,,seedset,14,,,
FeedbackVersion-14-20240511-20:48:08-11935,itervar,,,genInterval,0.8,,,
FeedbackVersion-14-20240511-20:48:08-11935,config,,,network,NetworkFV,,,
FeedbackVersion-14-20240511-20:48:08-11935,config,,,sim-time-limit,200s,,,
FeedbackVersion-14-20240511-20:48:08-11935,config,,,NetworkFV.nodeTx.gen.generationInterval,exponential(0.8),,,
FeedbackVersion-14-20240511-20:48:08-11935,config,,,NetworkFV.nodeTx.gen.packetByteSize,12500,,,
FeedbackVersion-14-20240511-20:48:08-11935,config,,,NetworkFV.queueOne.bufferSize,200,,,
FeedbackVersion-14-20240511-20:48:08-11935,config,,,NetworkFV.nodeRx.queue.bufferSize,200,,,
FeedbackVersion-14-20240511-20:48:08-11935,config,,,NetworkFV.nodeTx.queue.bufferSize,2000000,,,
FeedbackVersion-14-20240511-20:48:08-11935,config,,,NetworkFV.queueZero.bufferSize,200,,,
FeedbackVersion-14-20240511-20:48:08-11935,scalar,NetworkFV.nodeTx.queue,Number of packets on TransportTx,,,215,,
FeedbackVersion-14-20240511-20:48:08-11935,scalar,NetworkFV.nodeTx.queue,Number of packets sent - TransportTx,,,36,,
FeedbackVersion-14-20240511-20:48:08-11935,scalar,NetworkFV.queueZero,Number of packets on queue,,,0,,
FeedbackVersion-14-20240511-20:48:08-11935,scalar,NetworkFV.queueZero,Number of dropped packets,,,0,,
FeedbackVersion-14-20240511-20:48:08-11935,scalar,NetworkFV.queueOne,Number of packets on queue,,,0,,
FeedbackVersion-14-20240511-20:48:08-11935,scalar,NetworkFV.queueOne,Number of dropped packets,,,0,,
FeedbackVersion-14-20240511-20:48:08-11935,scalar,NetworkFV.nodeRx.sink,Avg delay,,,1.0927037101526,,
FeedbackVersion-14-20240511-20:48:08-11935,scalar,NetworkFV.nodeRx.sink,Number of packets,,,36,,
FeedbackVersion-14-20240511-20:48:08-11935,scalar,NetworkFV.nodeRx.queue,Number of packets on TransportRx,,,0,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,typename,,,"""ned.DatarateChannel""",,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,disabled,,,false,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,disabled,mutable,,,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,delay,,,0.0001s,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,delay,mutable,,,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,delay,unit,s,,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,datarate,,,1e+06bps,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,datarate,mutable,,,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,datarate,unit,bps,,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,ber,,,0,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,ber,mutable,,,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,per,,,0,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,per,mutable,,,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.queueZero.out.channel,typename,,,"""ned.DatarateChannel""",,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.queueZero.out.channel,disabled,,,false,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.queueZero.out.channel,disabled,mutable,,,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.queueZero.out.channel,delay,,,0.0001s,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.queueZero.out.channel,delay,mutable,,,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.queueZero.out.channel,delay,unit,s,,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.queueZero.out.channel,datarate,,,500000bps,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.queueZero.out.channel,datarate,mutable,,,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.queueZero.out.channel,datarate,unit,bps,,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.queueZero.out.channel,ber,,,0,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.queueZero.out.channel,ber,mutable,,,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.queueZero.out.channel,per,,,0,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.queueZero.out.channel,per,mutable,,,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeTx.gen,typename,,,"""Generator""",,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeTx.gen,generationInterval,,,exponential(0.8),,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeTx.gen,packetByteSize,,,12500,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeTx.queue,typename,,,"""TransportTx""",,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeTx.queue,bufferSize,,,2000000,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeTx,typename,,,"""NodeTxFV""",,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.queueZero,typename,,,"""Queue""",,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.queueZero,bufferSize,,,200,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.queueOne,typename,,,"""Queue""",,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.queueOne,bufferSize,,,200,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeRx.queue.toApp.channel,typename,,,"""ned.DatarateChannel""",,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeRx.queue.toApp.channel,disabled,,,false,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.nodeRx.queue.toApp.channel,disabled,mutable,,,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeRx.queue.toApp.channel,delay,,,0s,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.nodeRx.queue.toApp.channel,delay,mutable,,,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.nodeRx.queue.toApp.channel,delay,unit,s,,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeRx.queue.toApp.channel,datarate,,,1e+06bps,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.nodeRx.queue.toApp.channel,datarate,mutable,,,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.nodeRx.queue.toApp.channel,datarate,unit,bps,,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeRx.queue.toApp.channel,ber,,,0,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.nodeRx.queue.toApp.channel,ber,mutable,,,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeRx.queue.toApp.channel,per,,,0,,
FeedbackVersion-14-20240511-20:48:08-11935,attr,NetworkFV.nodeRx.queue.toApp.channel,per,mutable,,,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeRx.sink,typename,,,"""Sink""",,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeRx.queue,typename,,,"""TransportRx""",,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeRx.queue,bufferSize,,,200,,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV.nodeRx,typename,,,"""NodeRxFV""",,
FeedbackVersion-14-20240511-20:48:08-11935,param,NetworkFV,typename,,,"""NetworkFV""",,
FeedbackVersion-14-20240511-20:48:08-11935,vector,NetworkFV.nodeRx.queue,PacketsLost,,,,"0 0.2 0.4 0.6 0.8 1.3002 1.6004 1.9006 2.2008 2.501 2.8012 3.4016 3.7018 4.002 4.6024 4.9026 5.503 5.8032 6.1034 6.4036 6.7038 7.004 7.3042 7.9046 8.2048 8.505 8.8052 9.1054 9.4056 9.7058 10.006 10.3062 10.6064 10.9066 12.1074 12.4076 13.6084 13.9086 14.2088 15.4096 16.01 17.2108 17.8112 18.1114 18.4116 18.7118 19.012 19.3122 19.6124 19.9126 20.8132 21.4136 22.3142 22.6144 22.9146 23.2148 23.515 23.8152 25.016 25.3162 25.6164 25.9166 26.2168 26.517 26.8172 27.1174 27.4176 27.7178 28.018 28.3182","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
FeedbackVersion-14-20240511-20:48:08-11935,vector,NetworkFV.nodeRx.queue,PacketsAsked,,,,"0 1.6004 2.917089028598 3.1014 4.103915123244 6.4036 6.599625455245 6.964546937282 7.396634697679 9.4056 10.10499245473 10.881594018442 11.189448463287 11.695962669922 13.077991545066 16.139067776699 19.012 21.064512992011 23.515 24.225988345056 26.517 28.3182","2 1 0 1 2 1 1 1 2 1 1 1 2 4 6 9 4 4 2 2 1 0"
