run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,configname,FeedbackVersion,,,
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,datetime,20240511-20:48:08,,,
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,datetimef,20240511-204808,,,
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,experiment,FeedbackVersion,,,
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,inifile,omnetpp.ini,,,
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,iterationvars,$genInterval=0.4,,,
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,iterationvarsd,genInterval=0.4,,,
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,iterationvarsf,genInterval=0.4-,,,
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,measurement,$genInterval=0.4,,,
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,network,NetworkFV,,,
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,processid,11935,,,
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,repetition,0,,,
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,replication,#0,,,
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,resultdir,results,,,
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,runnumber,6,,,
FeedbackVersion-6-20240511-20:48:08-11935,runattr,,,seedset,6,,,
FeedbackVersion-6-20240511-20:48:08-11935,itervar,,,genInterval,0.4,,,
FeedbackVersion-6-20240511-20:48:08-11935,config,,,network,NetworkFV,,,
FeedbackVersion-6-20240511-20:48:08-11935,config,,,sim-time-limit,200s,,,
FeedbackVersion-6-20240511-20:48:08-11935,config,,,NetworkFV.nodeTx.gen.generationInterval,exponential(0.4),,,
FeedbackVersion-6-20240511-20:48:08-11935,config,,,NetworkFV.nodeTx.gen.packetByteSize,12500,,,
FeedbackVersion-6-20240511-20:48:08-11935,config,,,NetworkFV.queueOne.bufferSize,200,,,
FeedbackVersion-6-20240511-20:48:08-11935,config,,,NetworkFV.nodeRx.queue.bufferSize,200,,,
FeedbackVersion-6-20240511-20:48:08-11935,config,,,NetworkFV.nodeTx.queue.bufferSize,2000000,,,
FeedbackVersion-6-20240511-20:48:08-11935,config,,,NetworkFV.queueZero.bufferSize,200,,,
FeedbackVersion-6-20240511-20:48:08-11935,scalar,NetworkFV.nodeTx.queue,Number of packets on TransportTx,,,0,,
FeedbackVersion-6-20240511-20:48:08-11935,scalar,NetworkFV.nodeTx.queue,Number of packets sent - TransportTx,,,516,,
FeedbackVersion-6-20240511-20:48:08-11935,scalar,NetworkFV.queueZero,Number of packets on queue,,,0,,
FeedbackVersion-6-20240511-20:48:08-11935,scalar,NetworkFV.queueZero,Number of dropped packets,,,0,,
FeedbackVersion-6-20240511-20:48:08-11935,scalar,NetworkFV.queueOne,Number of packets on queue,,,0,,
FeedbackVersion-6-20240511-20:48:08-11935,scalar,NetworkFV.queueOne,Number of dropped packets,,,0,,
FeedbackVersion-6-20240511-20:48:08-11935,scalar,NetworkFV.nodeRx.sink,Avg delay,,,0.67882556962482,,
FeedbackVersion-6-20240511-20:48:08-11935,scalar,NetworkFV.nodeRx.sink,Number of packets,,,515,,
FeedbackVersion-6-20240511-20:48:08-11935,scalar,NetworkFV.nodeRx.queue,Number of packets on TransportRx,,,0,,
FeedbackVersion-6-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,typename,,,"""ned.DatarateChannel""",,
FeedbackVersion-6-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,disabled,,,false,,
FeedbackVersion-6-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,disabled,mutable,,,,
FeedbackVersion-6-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,delay,,,0.0001s,,
FeedbackVersion-6-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,delay,mutable,,,,
FeedbackVersion-6-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,delay,unit,s,,,
FeedbackVersion-6-20240511-20:48:08-11935,param,NetworkFV.nodeTx.out.channel,datarate,,,1e+06bps,,
FeedbackVersion-6-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,datarate,mutable,,,,
FeedbackVersion-6-20240511-20:48:08-11935,attr,NetworkFV.nodeTx.out.channel,datarate,unit,bps,,,
